Question;RepA;RepB;RepC;RepD;ValeurA;ValeurB;ValeurC;ValeurD
Don't stop me ;baby;now;know;my love;FAUX;VRAI;FAUX;FAUX
Trahison, disgrâce. L'esprit du mal est marqué sur sa;tête;patte;face;moustache;FAUX;FAUX;VRAI;FAUX
Ces mots signifient que tu vivras ta vie, ;sans aucun ami;sans aucun bruit;sans parapluie;sans aucun souci;FAUX;FAUX;FAUX;VRAI
Ce rêve bleu C'est un nouveau monde en;couleur;sueur;cœur;chaleur;VRAI;FAUX;FAUX;FAUX
Somebody once told me the world is gonna;watch ;teach me;roll me;rise;FAUX;FAUX;VRAI;FAUX
Le lion est mort ce soir et les;hommes;hormones;ohm;homards;VRAI;FAUX;FAUX;FAUX
Cause all of me loves all of;you;him;me;her;VRAI;FAUX;FAUX;FAUX
C'est l'histoire de la vie, le cycle éternel, qu'un enfant béni ;boit l'hydromel;rend immortel;passe par Vittel;rend virtuel;FAUX;VRAI;FAUX;FAUX
Il faut se satisfaire du nécessaire Un peu d'eau fraiche et de;miel;verdure;Soleil;cactus;FAUX;VRAI;FAUX;FAUX
Quelques rayons de miel et de;verdure;cactus;Soleil;fraicheur;FAUX;FAUX;VRAI;FAUX
Libérée, Délivrée Je ne mentirai;que le jeudi;qu'à toi;pas;plus jamais;FAUX;FAUX;FAUX;VRAI
Entend tu chanter les espris de la;montagne;rivière;forêt;mer;VRAI;FAUX;FAUX;FAUX
Yesterday, all my troubles seemed so;close;strange;unbelievable;far away;FAUX;FAUX;FAUX;VRAI
Attaquons l'exercice pour défaire les ;Huns;Uns;Ains;Heins;VRAI;FAUX;FAUX;FAUX
Comme un homme Sois plus violent que le cours du ;tyran;torrent;talisman;temps;FAUX;VRAI;FAUX;FAUX
Je suis le gardien Du sommeil de ses nuits Je l'aime;pour la vie;de tout mon cœur;à mourir;pour de vrai;FAUX;FAUX;VRAI;FAUX
Tiens bon la vague et tiens bon le;gouvernail;mât;temps;vent;FAUX;FAUX;FAUX;VRAI
Hisse et ho,;sales pianos;mille sabords;matelots;Santiano ;FAUX;FAUX;FAUX;VRAI
Don't stop me now I'm having such a good time I'm having a;ball;pillow;sleeping time;bath;VRAI;FAUX;FAUX;FAUX
C'est moi Simba C'est moi le;roi;chat;swag;panda;VRAI;FAUX;FAUX;FAUX
Si Dieu veut, toujours droit devant Nous irons jusqu'à;la place Bellecour;San Fancisco;sans Francis ho;Marco Polo;FAUX;VRAI;FAUX;FAUX
